# Liste des 298 mots faciles du niveau A2 (étape 1 / fondamentaux)

word_20 | FR: ah | EN: ah | ES: ah | DE: ah | interj
word_555 | FR: à l'extérieur / dehors | EN: outside / outdoors | ES: afuera / fuera | DE: draußen | adverbe
word_303 | FR: échouer / rater | EN: fail / flunk | ES: fallar / fracasar / suspender | DE: scheitern / durchfallen | verbe
word_692 | FR: économiser / sauver / sauvegarder | EN: save / rescue / store | ES: ahorrar / salvar / guardar | DE: sparen / retten / speichern | verbe
word_40 | FR: apparaître / sembler | EN: appear / seem | ES: aparecer / parecer | DE: erscheinen / vorkommen | verbe
word_78 | FR: appartenir | EN: belong | ES: pertenecer | DE: gehören | verbe
word_127 | FR: attraper / capturer | EN: catch / grab | ES: atrapar / coger / agarrar | DE: fangen / erwischen | verbe
word_702 | FR: chercher / rechercher / fouiller | EN: search / seek / look for | ES: buscar / investigar | DE: suchen / durchsuchen | verbe
word_190 | FR: compter | EN: count | ES: contar | DE: zählen | verbe
word_725 | FR: crier / hurler | EN: shout / yell / scream | ES: gritar / vociferar | DE: schreien / rufen | verbe
word_97 | FR: emprunter | EN: borrow | ES: pedir prestado / tomar prestado | DE: leihen / borgen | verbe
word_648 | FR: enregistrer | EN: record / tape | ES: grabar | DE: aufnehmen | verbe
word_280 | FR: entrer / pénétrer | EN: enter / come in / go in | ES: entrar / ingresar | DE: betreten / eintreten / hereinkommen | verbe
word_443 | FR: frapper / toquer | EN: knock / tap | ES: tocar / golpear | DE: klopfen / anklopfen | verbe
word_750 | FR: fumer | EN: smoke | ES: fumar | DE: rauchen | verbe
word_811 | FR: goûter | EN: taste | ES: probar | DE: schmecken | verbe
word_826 | FR: jeter / lancer | EN: throw / toss / cast | ES: tirar / lanzar / arrojar | DE: werfen / schleudern | verbe
word_633 | FR: lever / hausser / élever | EN: raise / lift / boost | ES: levantar / alzar / subir | DE: heben / anheben / erhöhen | verbe
word_545 | FR: offrir / proposer | EN: offer / provide | ES: ofrecer / proponer | DE: anbieten / offerieren | verbe
word_720 | FR: partager | EN: share | ES: compartir | DE: teilen | verbe
word_662 | FR: rapporter / relater | EN: report / recount | ES: informar / relatar | DE: berichten / melden | verbe
word_538 | FR: remarquer / s'apercevoir / observer | EN: notice / perceive / spot | ES: notar / fijarse / advertir | DE: bemerken / wahrnehmen | verbe
word_901 | FR: s'inquiéter / se tracasser | EN: worry / fret | ES: preocuparse / inquietarse | DE: sich sorgen / beunruhigen | verbe
word_77 | FR: se comporter / agir | EN: behave / act | ES: comportarse / actuar | DE: sich verhalten / benehmen | verbe
word_493 | FR: se marier / épouser | EN: marry / wed | ES: casarse / contraer matrimonio | DE: heiraten | verbe
word_748 | FR: sourire | EN: smile | ES: sonreír | DE: lächeln | verbe
word_196 | FR: traverser | EN: cross | ES: cruzar | DE: überqueren | verbe
word_776 | FR: voler / dérober | EN: steal / rob | ES: robar / hurtar | DE: stehlen / rauben | verbe
word_19 | FR: être d'accord / accepter | EN: agree / concur | ES: estar de acuerdo / acordar | DE: zustimmen / einverstanden sein | verbe
word_830 | FR: attacher / nouer / lier | EN: tie / bind / fasten | ES: atar / amarrar / ligar | DE: binden / festbinden | verbe
word_449 | FR: atterrir | EN: land | ES: aterrizar | DE: landen | verbe
word_827 | FR: bien rangé / soigné / ordonné | EN: tidy / neat / orderly | ES: ordenado / aseado | DE: ordentlich / gepflegt | adjectif
word_114 | FR: camper | EN: camp | ES: acampar | DE: campen | verbe
word_2 | FR: capable / en mesure | EN: able / capable | ES: capaz | DE: fähig / imstande | adjectif
word_160 | FR: collectionner | EN: collect | ES: coleccionar | DE: sammeln | verbe
word_238 | FR: disparaître | EN: disappear / vanish | ES: desaparecer / esfumarse | DE: verschwinden | verbe
word_240 | FR: découvrir / trouver | EN: discover / find out | ES: descubrir / hallar | DE: entdecken / herausfinden | verbe
word_326 | FR: en forme / vigoureux | EN: fit / healthy / in shape | ES: en forma / saludable | DE: fit / gesund | adjectif
word_575 | FR: exécuter / jouer / présenter | EN: perform / execute / play | ES: interpretar / actuar / realizar | DE: aufführen / spielen / bieten | verbe
word_880 | FR: faible / fragile | EN: weak / frail / fragile | ES: débil / frágil | DE: schwach / kraftlos | adjectif
word_680 | FR: impoli / impolie / grossier | EN: rude / impolite / insolent | ES: grosero / grosera / maleducado | DE: unhöflich / frech | adjectif
word_304 | FR: juste / équitable | EN: fair / just / equitable | ES: justo / justa / equitativo | DE: fair / gerecht | adjectif
word_39 | FR: l'application | EN: app / application | ES: la aplicación | DE: die App | nom
word_427 | FR: l'article / l'élément / l'objet | EN: item / article / object | ES: el artículo / el elemento / el objeto | DE: der Artikel / der Gegenstand | nom
word_465 | FR: l'ascenseur | EN: lift / elevator | ES: el ascensor / el elevador | DE: der Aufzug / der Fahrstuhl | nom
word_547 | FR: l'huile / le pétrole | EN: oil / petroleum | ES: el aceite / el petróleo | DE: das Öl / das Erdöl | nom
word_353 | FR: l'or | EN: gold | ES: el oro | DE: das Gold | nom
word_860 | FR: l'unité | EN: unit | ES: la unidad | DE: die Einheit | nom
word_774 | FR: l'étoile / la vedette / la star | EN: star / celebrity | ES: la estrella / la celebridad | DE: der Stern / der Star | nom
word_672 | FR: la bague / l'anneau | EN: ring | ES: el anillo / la sortija | DE: der Ring | nom
word_482 | FR: la chance / la fortune | EN: luck / fortune | ES: la suerte / la fortuna | DE: das Glück | nom
word_755 | FR: la chaussette | EN: sock | ES: el calcetín | DE: die Socke | nom
word_429 | FR: la confiture / la marmelade | EN: jam / marmalade | ES: la mermelada | DE: die Marmelade / die Konfitüre | nom
word_389 | FR: la corne | EN: horn | ES: el cuerno | DE: das Horn | nom
word_138 | FR: la discussion / le bavardage | EN: chat / discussion / talk | ES: la charla / la plática | DE: der Plausch / das Gespräch | nom
word_448 | FR: la lampe / la veilleuse | EN: lamp / light | ES: la lámpara | DE: die Lampe / die Leuchte | nom
word_598 | FR: la pop / la musique pop | EN: pop / pop music | ES: el pop / la música pop | DE: der Pop / die Popmusik | nom
word_760 | FR: la sorte / l'espèce / le genre | EN: sort / kind / type | ES: el tipo / la clase | DE: die Art / die Sorte | nom
word_816 | FR: la tente | EN: tent | ES: la tienda | DE: das Zelt | nom
word_881 | FR: la toile / le web | EN: web | ES: la red | DE: das Netz | nom
word_875 | FR: la vue / le panorama / le regard | EN: view / vista / sight | ES: la vista / el panorama | DE: die Aussicht / der Blick | nom
word_891 | FR: large / vaste | EN: wide / broad / vast | ES: ancho / amplio | DE: breit / weit | adjectif
word_350 | FR: le but / l'objectif | EN: goal / objective / aim | ES: la meta / el objetivo | DE: das Ziel | nom
word_113 | FR: le camp | EN: camp | ES: el campamento | DE: das Lager | nom
word_139 | FR: le chef cuisinier / la cheffe cuisinière | EN: chef | ES: el chef / la chef | DE: der Küchenchef / die Küchenchefin | nom
word_157 | FR: le code | EN: code | ES: el código | DE: der Code | nom
word_484 | FR: le courrier / la poste | EN: mail / post | ES: el correo / la correspondencia | DE: die Post | nom
word_327 | FR: le drapeau / la bannière | EN: flag / banner | ES: la bandera / el estandarte | DE: die Flagge / die Fahne | nom
word_305 | FR: le fan / la fan / l'admirateur | EN: fan / supporter | ES: el fan / la fan | DE: der Fan / die Anhängerin | nom
word_319 | FR: le film | EN: film / movie | ES: la película / el filme | DE: der Film | nom
word_346 | FR: le gaz / l'essence | EN: gas / petrol / gasoline | ES: el gas / la gasolina | DE: das Gas / das Benzin | nom
word_354 | FR: le golf | EN: golf | ES: el golf | DE: das Golf | nom
word_367 | FR: le hall / le couloir / l'entrée | EN: hall / corridor / lobby | ES: el vestíbulo / el pasillo / el hall | DE: die Halle / der Flur | nom
word_375 | FR: le héros / l'héroïne | EN: hero / heroine | ES: el héroe / la heroína | DE: der Held / die Heldin | nom
word_430 | FR: le jazz | EN: jazz | ES: el jazz | DE: der Jazz | nom
word_445 | FR: le labo / le laboratoire | EN: lab / laboratory | ES: el laboratorio / el lab | DE: das Labor | nom
word_469 | FR: le lien | EN: link / connection | ES: el enlace / el vínculo | DE: die Verbindung / der Link | nom
word_494 | FR: le masque | EN: mask | ES: la máscara / la careta | DE: die Maske | nom
word_258 | FR: le médicament / le remède | EN: drug / medication / medicine | ES: el medicamento / la medicina | DE: das Medikament / die Arznei | nom
word_530 | FR: le nid | EN: nest | ES: el nido | DE: das Nest | nom
word_363 | FR: le pistolet / le revolver | EN: gun / pistol / handgun | ES: la pistola / el revólver | DE: die Pistole / die Waffe | nom
word_347 | FR: le portail / la porte | EN: gate / portal | ES: la puerta / el portón | DE: das Tor / die Pforte | nom
word_622 | FR: le pub / le bar | EN: pub / bar | ES: el pub / el bar | DE: die Kneipe / das Pub | nom
word_634 | FR: le rat | EN: rat | ES: la rata | DE: die Ratte | nom
word_674 | FR: le rock | EN: rock / rock music | ES: el rock / la música rock | DE: der Rock / die Rockmusik | nom
word_736 | FR: le site | EN: site | ES: el sitio | DE: der Standort / die Website | nom
word_738 | FR: le ski | EN: ski | ES: el esquí | DE: der Ski | nom
word_635 | FR: le taux / le tarif | EN: rate / tariff | ES: la tasa / la tarifa | DE: die Rate / der Satz | nom
word_838 | FR: le tour / la visite | EN: tour | ES: el recorrido | DE: die Tour | nom
word_893 | FR: le vent | EN: wind | ES: el viento | DE: der Wind | nom
word_581 | FR: photographier / prendre en photo | EN: photograph / shoot | ES: fotografiar | DE: fotografieren | verbe
word_485 | FR: poster / envoyer par la poste | EN: mail / post | ES: enviar por correo / franquear | DE: per Post senden / abschicken | verbe
word_213 | FR: profond | EN: deep / profound | ES: profundo / hondo | DE: tief / gründlich | adjectif
word_96 | FR: réserver | EN: book / reserve | ES: reservar | DE: buchen / reservieren | verbe
word_892 | FR: sauvage | EN: wild | ES: salvaje | DE: wild | adjectif
word_639 | FR: se rendre compte / réaliser | EN: realise / realize / understand | ES: darse cuenta / percatarse | DE: erkennen / einsehen / begreifen | verbe
word_8 | FR: actif / dynamique | EN: active / dynamic | ES: activo / dinámico | DE: aktiv / tatkräftig | adjectif
word_16 | FR: affecter | EN: affect | ES: afectar | DE: beeinflussen | verbe
word_57 | FR: assister à / participer à | EN: attend / participate in | ES: asistir / participar | DE: teilnehmen / besuchen | verbe
word_128 | FR: causer / provoquer | EN: cause / trigger | ES: causar / provocar | DE: verursachen / bewirken | verbe
word_483 | FR: chanceux / chanceuse / fortuné | EN: lucky / fortunate | ES: afortunado / afortunada | DE: glücklich | adjectif
word_480 | FR: charmant / ravissant / adorable | EN: lovely / delightful / charming | ES: encantador / precioso / lindo | DE: lieblich / wunderschön / reizend | adjectif
word_164 | FR: commun | EN: common | ES: común | DE: gemeinsam | adjectif
word_233 | FR: direct / droit | EN: direct / straight | ES: directo / directa | DE: direkt | adjectif
word_247 | FR: double | EN: double / dual | ES: doble | DE: doppelt | adjectif
word_248 | FR: doubler / dupliquer | EN: double | ES: doblar / duplicar | DE: verdoppeln | verbe
word_218 | FR: dépendre | EN: depend | ES: depender | DE: abhängen | verbe
word_271 | FR: employer / embaucher / recruter | EN: employ / hire | ES: emplear / contratar | DE: beschäftigen / anstellen | verbe
word_889 | FR: entier / complet / tout | EN: whole / entire / complete | ES: entero / completo / todo | DE: ganz / komplett / gesamt | adjectif
word_288 | FR: exact / exacte / précis | EN: exact / accurate / precise | ES: exacto / exacta / preciso | DE: exakt / genau / präzise | adjectif
word_292 | FR: exister | EN: exist | ES: existir | DE: existieren / bestehen | verbe
word_336 | FR: formel / formelle | EN: formal / official | ES: formal / oficial | DE: formell / offiziell | adjectif
word_339 | FR: frais / fraîche | EN: fresh / cool / crisp | ES: fresco / fresca | DE: frisch / kühl | adjectif
word_391 | FR: humain / humaine | EN: human | ES: humano / humana | DE: menschlich | adjectif
word_395 | FR: idéal / idéale / parfait | EN: ideal / perfect | ES: ideal / perfecto | DE: ideal / vollkommen | adjectif
word_422 | FR: inventer / concevoir | EN: invent / create / devise | ES: inventar / idear | DE: erfinden / kreieren | verbe
word_603 | FR: l'affiche / le poster | EN: poster | ES: el póster / el cartel | DE: das Poster / das Plakat | nom
word_590 | FR: l'assiette | EN: plate | ES: el plato | DE: der Teller | nom
word_56 | FR: l'attaque | EN: attack | ES: el ataque | DE: der Angriff | nom
word_539 | FR: l'avis / la notification | EN: notice / announcement | ES: el aviso / la notificación | DE: der Hinweis / die Notiz / die Mitteilung | nom
word_155 | FR: l'entraîneur / l'entraîneuse | EN: coach / trainer | ES: el entrenador / la entrenadora | DE: der Trainer / die Trainerin | nom
word_283 | FR: l'erreur / la faute | EN: error / mistake | ES: el error / la falta | DE: der Fehler / das Versehen | nom
word_285 | FR: l'essai / la dissertation / la rédaction | EN: essay / paper | ES: el ensayo / la redacción | DE: der Aufsatz / der Essay | nom
word_580 | FR: l'essence / le carburant | EN: petrol / gasoline / gas | ES: la gasolina / el combustible | DE: das Benzin / der Kraftstoff | nom
word_296 | FR: l'expert / l'experte | EN: expert / specialist | ES: el experto / la experta | DE: der Experte / die Expertin | nom
word_357 | FR: l'herbe / le gazon | EN: grass / lawn | ES: la hierba / el césped | DE: das Gras / der Rasen | nom
word_396 | FR: l'idiot / l'idiote | EN: idiot / fool | ES: el idiota / la idiota | DE: der Idiot / die Idiotin | nom
word_399 | FR: l'image / la photo | EN: image / picture / photo | ES: la imagen / la foto | DE: das Bild / das Foto | nom
word_413 | FR: l'insecte | EN: insect / bug | ES: el insecto / el bicho | DE: das Insekt | nom
word_544 | FR: l'offre / la proposition | EN: offer / proposal | ES: la oferta / la propuesta | DE: das Angebot | nom
word_549 | FR: l'option / le choix | EN: option / choice | ES: la opción / la elección | DE: die Option / die Wahl | nom
word_450 | FR: l'ordinateur portable / le portable | EN: laptop / notebook | ES: la computadora portátil / el portátil | DE: der Laptop / das Notebook | nom
word_276 | FR: l'énergie / la force / la vigueur | EN: energy / power / vigor | ES: la energía / la fuerza / el vigor | DE: die Energie / die Kraft | nom
word_129 | FR: la cause | EN: cause | ES: la causa | DE: die Ursache | nom
word_134 | FR: la chance / l'opportunité | EN: chance | ES: la oportunidad | DE: die Chance | nom
word_161 | FR: la colonne | EN: column | ES: la columna | DE: die Spalte | nom
word_162 | FR: la comédie | EN: comedy | ES: la comedia | DE: die Komödie | nom
word_275 | FR: la fin / la conclusion / le dénouement | EN: ending / conclusion / finish | ES: el final / el desenlace / la conclusión | DE: das Ende / der Schluss | nom
word_393 | FR: la hâte / la précipitation | EN: hurry / haste / rush | ES: la prisa / la premura | DE: die Eile / die Hast | nom
word_501 | FR: la mémoire / le souvenir | EN: memory / recollection | ES: la memoria / el recuerdo | DE: das Gedächtnis / die Erinnerung | nom
word_523 | FR: la nature | EN: nature | ES: la naturaleza | DE: die Natur | nom
word_587 | FR: la planète | EN: planet | ES: el planeta | DE: der Planet | nom
word_612 | FR: la prison | EN: prison / jail | ES: la prisión / la cárcel | DE: das Gefängnis | nom
word_654 | FR: la région | EN: region / area | ES: la región / la zona | DE: die Region / die Gegend | nom
word_691 | FR: la sauce | EN: sauce | ES: la salsa | DE: die Soße | nom
word_713 | FR: la série | EN: series | ES: la serie | DE: die Serie | nom
word_806 | FR: la tablette | EN: tablet | ES: la tableta | DE: das Tablet | nom
word_870 | FR: la vallée | EN: valley | ES: el valle | DE: das Tal | nom
word_125 | FR: le casino | EN: casino | ES: el casino | DE: das Casino | nom
word_572 | FR: le centime / la pièce | EN: penny / cent | ES: el céntimo / el penique | DE: der Cent / der Penny | nom
word_142 | FR: le choix | EN: choice | ES: la elección | DE: die Wahl | nom
word_126 | FR: le château | EN: castle | ES: el castillo | DE: die Burg / das Schloss | nom
word_191 | FR: le couple | EN: couple | ES: la pareja | DE: das Paar | nom
word_194 | FR: le crime | EN: crime | ES: el crimen | DE: das Verbrechen | nom
word_204 | FR: le cycle | EN: cycle | ES: el ciclo | DE: der Zyklus / der Kreislauf | nom
word_207 | FR: le danger | EN: danger | ES: el peligro | DE: die Gefahr | nom
word_215 | FR: le diplôme / le degré | EN: degree | ES: el título | DE: der Abschluss | nom
word_647 | FR: le disque / le vinyle / le record | EN: record / disc / vinyl | ES: el disco / el vinilo / el récord | DE: die Schallplatte / die Platte / der Rekord | nom
word_321 | FR: le doigt | EN: finger | ES: el dedo | DE: der Finger | nom
word_251 | FR: le drame | EN: drama | ES: el drama | DE: das Drama | nom
word_361 | FR: le guide / la guide | EN: guide / tour guide | ES: el guía / la guía | DE: der Reiseleiter / die Reiseleiterin | nom
word_385 | FR: le hockey | EN: hockey | ES: el hockey | DE: das Hockey | nom
word_229 | FR: le journal intime | EN: diary | ES: el diario | DE: das Tagebuch | nom
word_456 | FR: le leader / la leader | EN: leader | ES: el líder / la líder | DE: der Anführer / die Anführerin | nom
word_472 | FR: le litre | EN: litre / liter | ES: el litro | DE: der Liter | nom
word_504 | FR: le milieu / le centre | EN: middle / center | ES: el medio / el centro | DE: die Mitte / das Zentrum | nom
word_277 | FR: le moteur | EN: engine / motor | ES: el motor | DE: der Motor | nom
word_503 | FR: le métal | EN: metal | ES: el metal | DE: das Metall | nom
word_561 | FR: le palais | EN: palace | ES: el palacio | DE: der Palast | nom
word_585 | FR: le pilote / la pilote | EN: pilot | ES: el piloto / la piloto | DE: der Pilot / die Pilotin | nom
word_586 | FR: le pirate / la pirate | EN: pirate | ES: el pirata / la pirata | DE: der Pirat / die Piratin | nom
word_661 | FR: le rapport / le compte-rendu | EN: report | ES: el informe / el reporte | DE: der Bericht | nom
word_540 | FR: le roman | EN: novel | ES: la novela | DE: der Roman | nom
word_340 | FR: le réfrigérateur / le frigo | EN: fridge / refrigerator | ES: el refrigerador / el frigorífico | DE: der Kühlschrank | nom
word_689 | FR: le salaire / la paie | EN: salary / pay | ES: el salario / el sueldo | DE: das Gehalt / der Lohn | nom
word_698 | FR: le score / le résultat / la marque | EN: score / mark / tally | ES: el puntaje / el resultado / el tanteador | DE: das Ergebnis / der Spielstand / der Punktestand | nom
word_707 | FR: le secret | EN: secret | ES: el secreto | DE: das Geheimnis | nom
word_711 | FR: le sens | EN: sense | ES: el sentido | DE: der Sinn | nom
word_787 | FR: le stress | EN: stress | ES: el estrés | DE: der Stress | nom
word_831 | FR: le tigre / la tigresse | EN: tiger | ES: el tigre / la tigresa | DE: der Tiger / die Tigerin | nom
word_874 | FR: le virus | EN: virus | ES: el virus | DE: das Virus | nom
